year_month,commit_count,additions,deletions,agg_loc,agg_complexity,agg_token_count,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
2013-10,418,6421,3379,0.0,0.0,0.0,0.0,0.0,0.0
2013-11,234,1920,1242,0.0,0.0,0.0,0.0,0.0,0.0
2013-12,175,645,1158,0.0,0.0,0.0,0.0,0.0,0.0
2014-01,239,3279,2270,0.0,0.0,0.0,0.0,0.0,0.0
2014-02,72,235,132,0.0,0.0,0.0,0.0,0.0,0.0
2014-03,64,269,75,0.0,0.0,0.0,0.0,0.0,0.0
2014-04,142,333,206,0.0,0.0,0.0,0.0,0.0,0.0
2014-05,105,648,2283,0.0,0.0,0.0,0.0,0.0,0.0
2014-06,49,120,51,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,36,688,591,0.0,0.0,0.0,0.0,0.0,0.0
2014-08,35,204,90,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,29,106,33,0.0,0.0,0.0,0.0,0.0,0.0
2014-10,41,109,23,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,32,112,62,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,66,229,90,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,34,64,17,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,71,154,55,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,28,79,53,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,36,81,22,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,29,73,36,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,37,80,14,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,34,98,38,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,31,53,30,0.0,0.0,0.0,0.0,0.0,0.0
2015-09,37,79,35,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,62,295,260,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,96,2771,1453,0.0,0.0,0.0,0.0,0.0,0.0
2015-12,70,2328,2236,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,65,202,110,0.0,0.0,0.0,0.0,0.0,0.0
2016-02,45,151,40,0.0,0.0,0.0,0.0,0.0,0.0
2016-03,48,157,135,0.0,0.0,0.0,0.0,0.0,0.0
2016-04,39,104,122,0.0,0.0,0.0,0.0,0.0,0.0
2016-05,11,23,12,0.0,0.0,0.0,0.0,0.0,0.0
2016-06,13,36,16,0.0,0.0,0.0,0.0,0.0,0.0
2016-07,32,73,21,0.0,0.0,0.0,0.0,0.0,0.0
2016-08,41,172,37,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,7,7,3,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,32,78,46,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,36,269,29,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,21,50,22,0.0,0.0,0.0,0.0,0.0,0.0
2017-01,27,98,127,0.0,0.0,0.0,0.0,0.0,0.0
2017-02,27,115,23,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,22,46,19,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,31,145,65,0.0,0.0,0.0,0.0,0.0,0.0
2017-05,17,150,36,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,22,97,57,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,12,35,25,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,12,31,32,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,19,33,38,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,57,210,146,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,22,569,127,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,11,41,14,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,16,117,44,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,27,94,17,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,27,878,564,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,20,137,65,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,56,517,258,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,38,158,17,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,13,75,4,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,15,123,58,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,10,13,5,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,44,155,52,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,12,46,10,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,17,160,81,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,21,70,43,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,29,245,61,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,29,107,50,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,30,78,12,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,33,71,9,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,13,294,1,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,23,48,13,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,24,76,13,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,12,112,97,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,37,122,46,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,15,26,14,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,30,75,34,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,38,315,205,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,12,53,23,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,13,98,4,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,13,25,2,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,9,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,15,214,123,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,12,74,34,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,547,2816,609,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,218,1313,298,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,29,154,264,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,30,864,541,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,13,26,26,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,12,63,15,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,17,368,50,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,19,348,42,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,9,16,3,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,26,382,33,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,34,119,55,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,43,1721,1257,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,586,4127,660,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,92,1033,330,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,8,191,178,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,20,578,184,0.0,0.0,0.0,0.0,0.0,0.0
2022-02,33,2697,1698,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,43,369,148,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,16,73,44,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,12,88,7,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,21,81,32,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,49,725,563,0.0,0.0,0.0,0.0,0.0,0.0
